Jour,Population,Fabrication,Replica,Extrait_Sec _%,Mat_Grasse[g.L-1],Gras/Sec_%,HFD_%,pH,Lactate[g.L-1],Acetate[g.L-1]
9,Bois,A,1,56.80,31.75,55.90,63.300,5.15,1.426,0.070
9,Bois,A,2,56.66,31.00,54.71,62.810,5.14,1.426,0.088
9,Bois,A,3,57.75,31.75,54.98,61.906,5.12,1.382,0.085
9,Bois,B,1,57.36,31.25,54.48,62.022,5.17,1.441,0.069
9,Bois,B,2,54.18,30.00,55.37,65.457,5.15,1.371,0.098
9,Bois,B,3,56.32,30.75,54.60,63.076,5.18,1.248,0.057
9,Bois,C,1,56.05,31.00,55.31,63.697,5.12,1.663,0.091
9,Bois,C,2,54.71,30.50,55.75,65.166,5.19,1.594,0.052
9,Bois,C,3,55.60,31.00,55.76,64.350,5.18,1.620,0.038
9,Ensilage,A,1,57.60,31.75,55.12,62.120,5.18,1.670,0.083
9,Ensilage,A,2,56.50,31.00,54.87,63.045,5.17,1.562,0.049
9,Ensilage,A,3,57.47,31.00,53.94,61.637,5.15,1.602,0.036
9,Ensilage,B,1,57.11,31.50,55.16,62.615,5.23,1.381,0.085
9,Ensilage,B,2,55.31,30.50,55.14,64.300,5.18,1.488,0.141
9,Ensilage,B,3,56.17,30.75,54.74,63.290,5.15,0.982,0.055
9,Ensilage,C,1,56.66,32.50,57.36,64.208,5.24,1.580,0.157
9,Ensilage,C,2,53.45,29.25,54.72,65.793,5.16,1.642,0.024
9,Ensilage,C,3,56.20,31.50,56.05,63.942,5.22,1.506,0.118
9,non-Roquefort,A,1,57.74,31.75,54.99,61.920,5.17,1.576,0.058
9,non-Roquefort,A,2,56.16,30.50,54.31,63.080,5.16,1.555,0.031
9,non-Roquefort,A,3,58.41,32.00,54.79,61.164,5.10,1.607,0.043
9,non-Roquefort,B,1,57.00,31.75,55.70,63.003,5.18,1.204,0.068
9,non-Roquefort,B,2,52.99,30.00,56.61,67.155,5.14,1.305,0.120
9,non-Roquefort,B,3,55.52,29.75,53.58,63.315,5.14,1.568,0.104
9,non-Roquefort,C,1,55.59,31.50,56.66,64.830,5.14,1.548,0.141
9,non-Roquefort,C,2,56.41,32.00,56.73,64.104,5.28,1.549,0.103
9,non-Roquefort,C,3,55.61,30.25,54.40,63.643,5.20,1.630,0.105
9,Roquefort,A,1,55.26,30.25,54.74,64.140,5.17,1.633,0.069
9,Roquefort,A,2,54.71,29.50,53.92,64.241,5.17,1.901,0.057
9,Roquefort,A,3,56.20,30.00,53.38,62.571,5.20,1.610,0.046
9,Roquefort,B,1,56.01,30.50,54.45,63.293,5.19,1.406,0.058
9,Roquefort,B,2,54.51,30.50,55.95,65.452,5.15,1.438,0.075
9,Roquefort,B,3,56.69,31.50,55.57,63.229,5.16,1.330,0.066
9,Roquefort,C,1,56.32,30.50,54.15,62.846,5.09,1.701,0.012
9,Roquefort,C,2,54.59,30.75,56.33,65.575,5.22,1.610,0.062
9,Roquefort,C,3,54.98,30.25,55.02,64.545,5.18,1.648,0.085
20,Bois,A,1,58.12,32.50,55.92,62.045,6.10,0.902,0.000
20,Bois,A,2,58.23,31.25,53.67,60.758,6.07,0.779,0.023
20,Bois,A,3,59.07,32.50,55.02,60.637,6.02,0.727,0.026
20,Bois,B,1,57.24,31.00,54.16,61.972,5.97,0.745,0.000
20,Bois,B,2,55.10,30.00,54.45,64.145,5.86,0.583,0.018
20,Bois,B,3,56.68,33.25,58.66,64.897,5.95,0.315,0.000
20,Bois,C,1,56.33,31.25,55.48,63.522,5.71,1.323,0.000
20,Bois,C,3,53.54,29.75,55.57,66.137,5.93,0.961,0.000
20,Ensilage,A,1,58.02,32.50,56.02,62.195,6.07,0.225,0.000
20,Ensilage,A,2,56.48,31.25,55.33,63.302,6.09,1.018,0.000
20,Ensilage,A,3,58.25,32.25,55.36,61.621,6.88,0.366,0.015
20,Ensilage,B,1,55.27,30.00,54.28,63.901,5.77,0.689,0.000
20,Ensilage,B,2,56.21,29.75,52.93,62.336,5.76,1.111,0.000
20,Ensilage,B,3,57.85,32.75,56.61,62.676,5.72,0.279,0.010
20,Ensilage,C,1,57.33,31.75,55.38,62.520,5.88,0.718,0.000
20,Ensilage,C,2,54.92,30.25,55.08,64.631,6.06,0.531,0.000
20,Ensilage,C,3,53.80,29.75,55.30,65.766,6.16,0.397,0.000
20,non-Roquefort,A,1,58.91,32.75,55.59,61.099,6.05,0.879,0.042
20,non-Roquefort,A,2,58.11,31.25,53.78,60.932,6.18,1.106,0.000
20,non-Roquefort,A,3,58.34,31.50,53.99,60.816,6.09,0.974,0.000
20,non-Roquefort,B,1,57.54,31.50,54.74,61.983,6.03,0.769,0.014
20,non-Roquefort,B,2,56.19,30.75,54.73,63.266,6.06,0.710,0.000
20,non-Roquefort,B,3,57.57,31.50,54.72,61.944,6.02,0.316,0.000
20,non-Roquefort,C,1,56.33,31.75,56.36,63.983,5.96,0.887,0.000
20,non-Roquefort,C,2,56.46,32.00,56.68,64.031,5.76,0.791,0.000
20,non-Roquefort,C,3,55.11,30.25,54.89,64.358,6.09,0.863,0.000
20,Roquefort,A,1,57.79,31.25,54.08,61.399,6.07,1.238,0.000
20,Roquefort,A,2,57.03,30.00,52.60,61.384,6.17,0.239,0.015
20,Roquefort,A,3,57.07,30.25,53.01,61.551,6.16,1.613,0.019
20,Roquefort,B,1,55.80,30.75,55.11,63.828,6.26,0.934,0.000
20,Roquefort,B,2,56.25,30.25,53.78,62.725,6.02,1.098,0.000
20,Roquefort,B,3,57.19,32.50,56.83,63.423,6.15,0.447,0.000
20,Roquefort,C,1,54.65,30.00,54.89,64.783,6.02,1.067,0.000
20,Roquefort,C,2,56.61,31.50,55.64,63.341,6.07,1.069,0.000
20,Roquefort,C,3,54.53,30.25,55.47,65.188,6.10,1.045,0.000
